Date,Year,Month,Season,ONI,NINO 1+2 SST,NINO 1+2 SST Anomalies,NINO 3 SST,NINO 3 SST Anomalies,NINO 3.4 SST,NINO 3.4 SST Anomalies,NINO 4 SST,NINO 4 SST Anomalies,OLR,TNI,PNA,Precipitation (mm/day),SOI,el_nino
1/1/1951,1951,JAN,DJF 1951,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,-1.18,0.0,1.5,No
2/1/1951,1951,FEB,JFM 1951,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,-2.11,0.0,0.9,No
3/1/1951,1951,MAR,FMA 1951,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,-1.09,0.0,-0.1,No
4/1/1951,1951,APR,MAM 1951,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.47,0.0,-0.3,No
5/1/1951,1951,MAY,AMJ 1951,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,1.19,0.0,-0.7,No
6/1/1951,1951,JUN,MJJ 1951,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,-0.54,0.0,0.2,No
7/1/1951,1951,JUL,JJA 1951,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,-0.44,0.0,-1.0,No
8/1/1951,1951,AUG,JAS 1951,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.02,0.0,-0.2,No
9/1/1951,1951,SEP,ASO 1951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,-0.08,0.0,-1.1,No
10/1/1951,1951,OCT,SON 1951,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.43,0.0,-1.0,No
11/1/1951,1951,NOV,OND 1951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.21,0.0,-0.8,No
12/1/1951,1951,DEC,NDJ 1951,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,-1.59,0.0,-0.7,No
1/1/1952,1952,JAN,DJF 1952,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,-3.19,0.0,-0.9,No
2/1/1952,1952,FEB,JFM 1952,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,0.08,0.0,-0.6,No
3/1/1952,1952,MAR,FMA 1952,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,-0.69,0.0,0.5,No
4/1/1952,1952,APR,MAM 1952,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,0.89,0.0,-0.2,No
5/1/1952,1952,MAY,AMJ 1952,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57,-0.79,0.0,0.8,No
6/1/1952,1952,JUN,MJJ 1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.53,0.0,0.7,No
7/1/1952,1952,JUL,JJA 1952,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.57,0.0,0.5,No
8/1/1952,1952,AUG,JAS 1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.77,0.0,0.1,No
9/1/1952,1952,SEP,ASO 1952,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.4,0.0,-0.2,No
10/1/1952,1952,OCT,SON 1952,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,1.05,0.0,0.4,No
11/1/1952,1952,NOV,OND 1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57,0.77,0.0,0.0,No
12/1/1952,1952,DEC,NDJ 1952,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,0.63,0.0,-1.2,No
1/1/1953,1953,JAN,DJF 1953,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.18,0.0,0.3,No
2/1/1953,1953,FEB,JFM 1953,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.04,0.0,-0.5,No
3/1/1953,1953,MAR,FMA 1953,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.44,0.0,-0.2,No
4/1/1953,1953,APR,MAM 1953,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.78,0.0,0.2,No
5/1/1953,1953,MAY,AMJ 1953,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.14,0.0,-1.7,No
6/1/1953,1953,JUN,MJJ 1953,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,-1.6,0.0,0.1,No
7/1/1953,1953,JUL,JJA 1953,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.27,0.0,0.0,No
8/1/1953,1953,AUG,JAS 1953,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.15,0.0,-1.2,No
9/1/1953,1953,SEP,ASO 1953,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,-0.14,0.0,-1.2,No
10/1/1953,1953,OCT,SON 1953,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.27,0.0,0.1,No
11/1/1953,1953,NOV,OND 1953,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,1.57,0.0,-0.3,No
12/1/1953,1953,DEC,NDJ 1953,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,0.96,0.0,-0.5,No
1/1/1954,1954,JAN,DJF 1954,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,-2.11,0.0,0.7,No
2/1/1954,1954,FEB,JFM 1954,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,-0.48,0.0,-0.3,No
3/1/1954,1954,MAR,FMA 1954,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.79,-1.44,0.0,0.3,No
4/1/1954,1954,APR,MAM 1954,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,-2.86,0.0,0.6,No
5/1/1954,1954,MAY,AMJ 1954,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.84,0.65,0.0,0.5,No
6/1/1954,1954,JUN,MJJ 1954,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,0.09,0.0,0.1,No
7/1/1954,1954,JUL,JJA 1954,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34,-0.14,0.0,0.4,No
8/1/1954,1954,AUG,JAS 1954,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.98,-0.11,0.0,1.1,No
9/1/1954,1954,SEP,ASO 1954,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.61,-0.04,0.0,0.2,No
10/1/1954,1954,OCT,SON 1954,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,0.99,0.0,0.3,No
11/1/1954,1954,NOV,OND 1954,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,1.38,0.0,0.1,No
12/1/1954,1954,DEC,NDJ 1954,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.82,0.0,1.4,No
1/1/1955,1955,JAN,DJF 1955,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,-0.14,0.0,-0.5,No
2/1/1955,1955,JAN,JFM 1955,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,-2.62,0.0,1.9,No
3/1/1955,1955,FEB,FMA 1955,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,-2.47,0.0,0.6,No
4/1/1955,1955,MAR,MAM 1955,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,-0.24,0.0,-0.1,No
5/1/1955,1955,APR,AMJ 1955,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.42,0.0,1.0,No
6/1/1955,1955,MAY,MJJ 1955,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.11,0.0,1.3,No
7/1/1955,1955,JUN,JJA 1955,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-1.32,0.0,1.6,No
8/1/1955,1955,JUL,JAS 1955,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,-0.55,0.0,1.5,No
9/1/1955,1955,AUG,ASO 1955,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,-0.22,0.0,1.3,No
10/1/1955,1955,SEP,SON 1955,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.51,0.0,1.5,No
11/1/1955,1955,OCT,OND 1955,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,-0.93,0.0,1.2,No
12/1/1955,1955,NOV,NDJ 1955,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,-2.37,0.0,1.0,No
1/1/1956,1956,JAN,DJF 1956,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,-2.34,0.0,1.3,No
2/1/1956,1956,FEB,JFM 1956,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-1.69,0.0,1.6,No
3/1/1956,1956,MAR,FMA 1956,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,-0.97,0.0,1.3,No
4/1/1956,1956,APR,MAM 1956,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,-0.17,0.0,0.9,No
5/1/1956,1956,MAY,AMJ 1956,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,-0.17,0.0,1.4,No
6/1/1956,1956,JUN,MJJ 1956,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,-0.08,0.0,1.1,No
7/1/1956,1956,JUL,JJA 1956,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,-1.28,0.0,1.1,No
8/1/1956,1956,AUG,JAS 1956,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,-0.23,0.0,1.2,No
9/1/1956,1956,SEP,ASO 1956,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.42,0.0,0.1,No
10/1/1956,1956,OCT,SON 1956,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-2.16,0.0,1.8,No
11/1/1956,1956,NOV,OND 1956,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,1.0,0.0,0.2,No
12/1/1956,1956,DEC,NDJ 1956,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,-0.61,0.0,1.1,No
1/1/1957,1957,JAN,DJF 1957,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-2.18,0.0,0.6,No
2/1/1957,1957,FEB,JFM 1957,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-1.89,0.0,-0.1,No
3/1/1957,1957,MAR,FMA 1957,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.78,0.0,0.2,No
4/1/1957,1957,APR,MAM 1957,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,-0.41,0.0,0.2,No
5/1/1957,1957,MAY,AMJ 1957,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,1.24,0.0,-0.7,No
6/1/1957,1957,JUN,MJJ 1957,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.24,0.0,0.2,No
7/1/1957,1957,JUL,JJA 1957,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,-0.11,0.0,0.2,No
8/1/1957,1957,AUG,JAS 1957,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,-0.99,0.0,-0.5,No
9/1/1957,1957,SEP,ASO 1957,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,-0.22,0.0,-0.9,No
10/1/1957,1957,OCT,SON 1957,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.46,0.0,0.0,No
11/1/1957,1957,NOV,OND 1957,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.49,0.0,-1.0,No
